iter	Logloss
0	0.6744684323
1	0.6573148648
2	0.6419326312
3	0.6259660328
4	0.6098914109
5	0.597942422
6	0.5871265083
7	0.5745640464
8	0.5656277547
9	0.5541328035
10	0.5448805145
11	0.5358330973
12	0.528773247
13	0.520863151
14	0.5138314069
15	0.5076386901
16	0.5020934851
17	0.4970562328
18	0.4924494542
19	0.4886793082
20	0.4840404482
21	0.47984735
22	0.4764321396
23	0.4724795252
24	0.4694325762
25	0.4659371207
26	0.4628718694
27	0.4597192519
28	0.457206873
29	0.4546563043
30	0.4523142388
31	0.450512478
32	0.4488545514
33	0.446527362
34	0.4447796438
35	0.442105608
36	0.4400658166
37	0.4384916226
38	0.4363006025
39	0.4348751128
40	0.4334243399
41	0.4323265452
42	0.4308975361
43	0.429553589
44	0.4278433075
45	0.4266598143
46	0.425806339
47	0.4242466865
48	0.4223737161
49	0.4215752564
50	0.4197046636
51	0.4185968555
52	0.41784344
53	0.4169621255
54	0.4150980287
55	0.4129413702
56	0.4120390418
57	0.4109658871
58	0.4104631363
59	0.4098429552
60	0.4088230271
61	0.4081997614
62	0.4071146912
63	0.4060445
64	0.4054726125
65	0.4042854854
66	0.4038012741
67	0.4033458593
68	0.4029581364
69	0.4023552071
70	0.4016623017
71	0.4011707512
72	0.3998592238
73	0.3992573876
74	0.3988919706
75	0.3978504359
76	0.397519724
77	0.3970052338
78	0.3963288057
79	0.3959351976
80	0.395670745
81	0.3952678305
82	0.3946717247
83	0.3943917716
84	0.3937626263
85	0.3934447208
86	0.3924535838
87	0.391654884
88	0.391217196
89	0.3908728027
90	0.3903274342
91	0.3898603433
92	0.3896009249
93	0.3891417826
94	0.3889092317
95	0.3877248356
96	0.3871340065
97	0.3867270412
98	0.3862860863
99	0.3858058133
100	0.3855812129
101	0.3853982935
102	0.3847867587
103	0.3844961151
104	0.3842927509
105	0.3841782997
106	0.3838484085
107	0.3836336682
108	0.3833029611
109	0.3830057535
110	0.3828369262
111	0.3823784825
112	0.3822270764
113	0.3820641133
114	0.3818731024
115	0.3816332684
116	0.3813915869
117	0.380887522
118	0.3807156514
119	0.3805362256
120	0.3804027359
121	0.3794667064
122	0.3793360232
123	0.3791051865
124	0.3786774371
125	0.3785477173
126	0.3783493061
127	0.3780087909
128	0.3778719205
129	0.3776597576
130	0.3776203821
131	0.3769571203
132	0.3767346862
133	0.3766045808
134	0.376390264
135	0.3762563986
136	0.3761186345
137	0.3759103389
138	0.3757100289
139	0.3755601486
140	0.3754006083
141	0.3753319834
142	0.3752406442
143	0.3749220815
144	0.3748435092
145	0.3747595081
146	0.3746266305
147	0.3745089824
148	0.3738985861
149	0.3735917887
150	0.3735052012
151	0.3731003218
152	0.3729723779
153	0.372386705
154	0.3723257094
155	0.3722285419
156	0.3720328724
157	0.3718474521
158	0.3712205313
159	0.3703102436
160	0.3700392754
161	0.36994008
162	0.3698670079
163	0.3696916741
164	0.3695578327
165	0.3690662739
166	0.3688571517
167	0.3687559971
168	0.3683924347
169	0.3682687757
170	0.3681428702
171	0.3680513053
172	0.3678811807
173	0.3676155941
174	0.3674292204
175	0.3672889879
176	0.3667158001
177	0.3658266346
178	0.3656679761
179	0.3655403935
180	0.3654822338
181	0.3652931079
182	0.3651015514
183	0.3649754862
184	0.3648680474
185	0.3647536384
186	0.3645884492
187	0.3643839016
188	0.3643073082
189	0.3640450676
190	0.3638806739
191	0.3637870651
192	0.3635168007
193	0.3625827199
194	0.3623867635
195	0.3621527898
196	0.3620512025
197	0.3617862178
198	0.3616567147
199	0.3614991926
200	0.3613920905
201	0.3610006315
202	0.3607567732
203	0.3606432617
204	0.3606003405
205	0.3604739218
206	0.3604078544
207	0.3600245156
208	0.3599152545
209	0.35982247
210	0.3597390118
211	0.3596300543
212	0.3594600405
213	0.3594048445
214	0.3592283166
215	0.3591568223
216	0.3590486946
217	0.3589310249
218	0.3588264708
219	0.3586838636
220	0.3586080791
221	0.358329675
222	0.3582003027
223	0.3570816103
224	0.3567767543
225	0.3566841008
226	0.35654479
227	0.356475681
228	0.3563756147
229	0.3562566121
230	0.3561726338
231	0.3561371804
232	0.3560647689
233	0.3560382512
234	0.3559619204
235	0.3559062987
236	0.3558056495
237	0.3557388898
238	0.3556710015
239	0.355573964
240	0.3554487028
241	0.3553395449
242	0.3545378469
243	0.3543964954
244	0.3543114192
245	0.3542102394
246	0.3539706244
247	0.3538209842
248	0.3535767011
249	0.3535263023
250	0.3534252375
251	0.3532430453
252	0.3530074136
253	0.3529101853
254	0.3527337043
255	0.35264675
256	0.3519397638
257	0.351778083
258	0.3516922934
259	0.3516258036
260	0.3515408668
261	0.3513961555
262	0.3512457504
263	0.3508983338
264	0.3502314484
265	0.3501157333
266	0.3497611675
267	0.349379815
268	0.348542337
269	0.3483716104
270	0.3482887422
271	0.3481903808
272	0.34804015
273	0.3479746987
274	0.3473478492
275	0.3469366623
276	0.3468658003
277	0.3467738442
278	0.3466437246
279	0.3462036941
280	0.346035861
281	0.3457218957
282	0.3454975034
283	0.3453753895
284	0.3452964292
285	0.345215429
286	0.3451164589
287	0.3449861101
288	0.3448630488
289	0.3446959609
290	0.3443611439
291	0.3441715323
292	0.3438041492
293	0.343757661
294	0.3433980896
295	0.3432372359
296	0.3429648745
297	0.342863348
298	0.3427852846
299	0.3427488291
300	0.3425419446
301	0.3424021484
302	0.3422665859
303	0.3421871856
304	0.3417253783
305	0.3415108128
306	0.3413587718
307	0.3413040957
308	0.3411057581
309	0.3410257911
310	0.3409454276
311	0.3408888316
312	0.3407876287
313	0.3406816558
314	0.3398933804
315	0.3398495101
316	0.3397159594
317	0.3396409923
318	0.3395093256
319	0.3394185938
320	0.3393523516
321	0.339274629
322	0.3389811072
323	0.3386817955
324	0.3385974103
325	0.3376947414
326	0.33756955
327	0.3374842592
328	0.3374113022
329	0.3370993767
330	0.3370416329
331	0.3369089987
332	0.3367367644
333	0.3363464788
334	0.3357420147
335	0.3356424067
336	0.3354968207
337	0.3351460142
338	0.335079239
339	0.3347640959
340	0.3345589628
341	0.3344114506
342	0.3337587441
343	0.3336641292
344	0.3334741137
345	0.3329400664
346	0.3328131483
347	0.3327322405
348	0.3324507487
349	0.33237609
350	0.3321810299
351	0.3319439855
352	0.3318259784
353	0.3313106947
354	0.3312155692
355	0.3309404152
356	0.3306485227
357	0.3304708202
358	0.3299901661
359	0.3297358865
360	0.3294160203
361	0.3293595461
362	0.3292457423
363	0.329170051
364	0.32910068
365	0.3285307105
366	0.3280661514
367	0.3279972686
368	0.3275666247
369	0.3273080034
370	0.327245131
371	0.327185961
372	0.3269511848
373	0.3266498729
374	0.3265044624
375	0.3264351267
376	0.326282586
377	0.326218747
378	0.3257170893
379	0.3256499057
380	0.3255598342
381	0.3255028877
382	0.3251910838
383	0.3249984722
384	0.3247721697
385	0.324595597
386	0.3243915048
387	0.3242946736
388	0.3239450014
389	0.3238724569
390	0.3234552933
391	0.3232947131
392	0.3232430102
393	0.3231422972
394	0.3230396388
395	0.3226541939
396	0.3224394336
397	0.3223334028
398	0.322215781
399	0.3221130628
400	0.3220617005
401	0.3218787191
402	0.3217824259
403	0.3214068163
404	0.3210687837
405	0.3206101971
406	0.320324823
407	0.3202191056
408	0.3199556873
409	0.3196845786
410	0.3195046122
411	0.319414676
412	0.3193198188
413	0.3190732101
414	0.3190101361
415	0.3188542069
416	0.3187575439
417	0.3186023297
418	0.3185514699
419	0.3184901751
420	0.3181058585
421	0.3177353969
422	0.3176664869
423	0.3173939707
424	0.3173024167
425	0.3169370978
426	0.3167906667
427	0.316558592
428	0.3162358711
429	0.3161146933
430	0.3160562658
431	0.316006718
432	0.3159310592
433	0.3158318465
434	0.3157357746
435	0.3154173022
436	0.3151935936
437	0.314992309
438	0.3148543981
439	0.3147433829
440	0.3146079749
441	0.3141651752
442	0.3139905954
443	0.3139119654
444	0.3137724808
445	0.3136841035
446	0.3129370858
447	0.3128795317
448	0.3128124371
449	0.3126576878
450	0.312557033
451	0.3124064899
452	0.3123639469
453	0.3123088897
454	0.312000957
455	0.3119227414
456	0.3118390932
457	0.3117926479
458	0.3117387244
459	0.3116490773
460	0.3114769141
461	0.31134911
462	0.3111889965
463	0.3110824709
464	0.3109938943
465	0.3108867174
466	0.3105885867
467	0.3103636921
468	0.3101988332
469	0.3100124088
470	0.3098903803
471	0.3097809078
472	0.3095593968
473	0.3095211295
474	0.3092117493
475	0.309154117
476	0.3090907134
477	0.3088006629
478	0.3087086401
479	0.3086101536
480	0.3085462361
481	0.3084659393
482	0.3082133768
483	0.3079283055
484	0.3078725896
485	0.3076406197
486	0.307519515
487	0.3074381507
488	0.307239767
489	0.3070612171
490	0.3069488986
491	0.3068914796
492	0.3067620269
493	0.3066629419
494	0.3065952708
495	0.3065470034
496	0.3064983699
497	0.3064260799
498	0.3063094677
499	0.3062108469
500	0.3060379827
501	0.3059375219
502	0.3058635314
503	0.3052080085
504	0.304942596
505	0.3048524087
506	0.3046665618
507	0.3044038221
508	0.3041294522
509	0.3040262429
510	0.3039537162
511	0.3037874995
512	0.303596347
513	0.3035524736
514	0.3033831486
515	0.3033048823
516	0.3031521211
517	0.3029754889
518	0.302689638
519	0.3025635419
520	0.3024668814
521	0.3023973283
522	0.3022563301
523	0.3021819168
524	0.3020014569
525	0.3019225451
526	0.301663114
527	0.3015971627
528	0.3015364251
529	0.3013917186
530	0.3012502266
531	0.3009324224
532	0.3008494114
533	0.3007923494
534	0.300755945
535	0.3006499993
536	0.3005782749
537	0.3004559009
538	0.3002918213
539	0.3001935932
540	0.3000397997
541	0.2998347935
542	0.2996683167
543	0.2995496654
544	0.2994761484
545	0.299334137
546	0.2989615853
547	0.2987654356
548	0.2987204568
549	0.2986050391
550	0.2984808965
551	0.2983464012
552	0.2980062938
553	0.2979516295
554	0.2978811067
555	0.2977412963
556	0.2975880314
557	0.2974882848
558	0.2973301179
559	0.2970201259
560	0.2969688866
561	0.2968846517
562	0.2968160986
563	0.2966748558
564	0.296608154
565	0.2960313702
566	0.29589971
567	0.2958514277
568	0.2957277255
569	0.2956743387
570	0.2956121389
571	0.2955558877
572	0.295458282
573	0.2953929087
574	0.2952614476
575	0.2952140839
576	0.2951235538
577	0.2950015367
578	0.2948741839
579	0.2947239606
580	0.2946639455
581	0.2946140233
582	0.2944992075
583	0.2942584268
584	0.2940987127
585	0.2940492269
586	0.2939378656
587	0.2938042787
588	0.293644012
589	0.2935449119
590	0.2932637141
591	0.2931200569
592	0.292983636
593	0.2929217265
594	0.292854378
595	0.2927837492
596	0.2925024577
597	0.292339619
598	0.2921725298
599	0.2920844223
600	0.2920128826
601	0.2919051145
602	0.2918327061
603	0.2917579776
604	0.2916474714
605	0.2912452714
606	0.291112244
607	0.2909524614
608	0.2908304281
609	0.2906748959
610	0.2905504894
611	0.290491161
612	0.2902352001
613	0.2900982537
614	0.2899685259
615	0.2898588132
616	0.2897954228
617	0.2896827053
618	0.289579054
619	0.2894543329
