iter	Passed	Remaining
417	2552	3553
418	2557	3546
419	2563	3539
420	2568	3532
421	2574	3526
422	2579	3518
423	2585	3512
424	2590	3505
425	2596	3498
426	2602	3491
427	2607	3485
428	2613	3478
429	2619	3472
430	2624	3465
431	2630	3458
432	2636	3451
433	2641	3444
434	2647	3438
435	2654	3433
436	2660	3427
437	2666	3422
438	2673	3416
439	2679	3410
440	2686	3404
441	2692	3398
442	2698	3393
443	2704	3386
444	2712	3382
445	2718	3376
446	2723	3369
447	2729	3363
448	2735	3356
449	2741	3350
450	2747	3344
451	2752	3336
452	2757	3329
453	2763	3323
454	2769	3316
455	2774	3309
456	2780	3303
457	2785	3296
458	2791	3289
459	2796	3283
460	2802	3276
461	2808	3269
462	2813	3263
463	2819	3256
464	2825	3250
465	2830	3243
466	2836	3237
467	2841	3230
468	2847	3224
469	2853	3217
470	2859	3211
471	2864	3203
472	2869	3197
473	2875	3190
474	2881	3184
475	2887	3178
476	2892	3171
477	2898	3165
478	2904	3158
479	2909	3152
480	2915	3145
481	2921	3139
482	2926	3132
483	2932	3126
484	2938	3120
485	2944	3113
486	2949	3107
487	2955	3100
488	2961	3094
489	2966	3087
490	2972	3081
491	2978	3075
492	2984	3068
493	2989	3062
494	2995	3055
495	3000	3049
496	3006	3043
497	3012	3037
498	3018	3030
499	3024	3024
500	3029	3017
501	3035	3011
502	3041	3004
503	3046	2998
504	3052	2992
505	3058	2985
506	3063	2979
507	3069	2972
508	3075	2966
509	3081	2960
510	3086	2953
511	3092	2947
512	3098	2941
513	3104	2934
514	3109	2928
515	3115	2921
516	3120	2915
517	3126	2909
518	3132	2902
519	3137	2896
520	3143	2889
521	3148	2883
522	3154	2877
523	3160	2870
524	3165	2864
525	3171	2857
526	3177	2851
527	3182	2844
528	3187	2838
529	3193	2831
530	3199	2825
531	3204	2819
532	3210	2812
533	3216	2806
534	3222	2800
535	3228	2795
536	3235	2789
537	3241	2783
538	3248	2778
539	3254	2772
540	3260	2766
541	3266	2760
542	3273	2754
543	3281	2750
544	3287	2744
545	3292	2738
546	3298	2732
547	3304	2725
548	3310	2719
549	3316	2713
550	3321	2706
551	3327	2700
552	3333	2694
553	3338	2687
554	3344	2681
555	3349	2675
556	3355	2668
557	3360	2662
558	3366	2655
559	3371	2649
560	3377	2643
561	3382	2636
562	3388	2630
563	3395	2624
564	3400	2618
565	3407	2612
566	3413	2606
567	3419	2600
568	3425	2594
569	3431	2588
570	3437	2582
571	3443	2576
572	3449	2570
573	3455	2564
574	3461	2558
575	3466	2551
576	3472	2545
577	3478	2539
578	3483	2533
579	3489	2526
580	3495	2520
581	3500	2514
582	3506	2507
583	3511	2501
584	3517	2495
585	3523	2488
586	3528	2482
587	3534	2476
588	3539	2470
589	3545	2463
590	3551	2457
591	3556	2451
592	3562	2444
593	3567	2438
594	3573	2432
595	3579	2426
596	3584	2419
597	3590	2413
598	3596	2407
599	3601	2401
600	3607	2394
601	3613	2388
602	3618	2382
603	3624	2376
604	3629	2369
605	3635	2363
606	3641	2357
607	3647	2351
608	3652	2345
609	3658	2338
610	3663	2332
611	3669	2326
